InputVarType, OutputVarType, InputAlias, OutputAlias,TargetName, InputFileVarName, OutputFileVarName, InputBaseValue, OutputBaseValue, InputNewValue, OutputNewValue
I6C, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.200000, 244.59
I6C, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.07, 256.83
I6C, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.07, 244.59
I6C, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.3, 256.83
I6C, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.3, 244.59
I6C, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 2500, 256.83
I6C, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 2500, 244.59
I6C, O_t, CDW, ASET_5, Time, XB, V1, 0.750000, 197.35, 0.200000, 256.83
I6C, O_t, CDW, ASET_10, Time, XB, V1, 0.750000, 183.50, 0.200000, 244.59
I6C, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.07, 256.83
I6C, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.07, 244.59
I6C, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.3, 256.83
I6C, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.3, 244.59
I6C, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 2500, 256.83
I6C, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 2500, 244.59
